OpenMV X, OpenMV Y, uArm Observer X, uArm Observer Y, uArm Observer Z, uArm Ball X, uArm Ball Y, uArm Ball Z
0.92, 0.08, 145, 0, 140, 270.29, -80.63, 36.97
0.9, 0.08, 145, 0, 140, 265.65, -75.27, 37.15
0.88, 0.12, 145, 0, 140, 259.86, -63.82, 37.25
0.89, 0.2, 145, 0, 140, 259.91, -49.63, 37.89
0.88, 0.3, 145, 0, 140, 254.57, -33.78, 37.11
0.86, 0.39, 145, 0, 140, 251.46, -17.77, 37.02
0.85, 0.52, 145, 0, 140, 247.25, 2.28, 38.27
0.85, 0.62, 145, 0, 140, 245.64, 16.23, 37.29
0.84, 0.77, 145, 0, 140, 245.31, 39.08, 37.33
0.85, 0.9, 145, 0, 140, 248.87, 58.7, 37.81
0.73, 0.86, 145, 0, 140, 232.39, 52.56, 37.46
0.75, 0.77, 145, 0, 140, 233.72, 37.61, 37.75
0.75, 0.65, 145, 0, 140, 233.15, 22.24, 38.76
0.73, 0.52, 145, 0, 140, 231.33, 3.19, 37.44
0.73, 0.41, 145, 0, 140, 229.41, -13.39, 37.45
0.72, 0.28, 145, 0, 140, 227.98, -33.1, 37.66
0.7, 0.19, 145, 0, 140, 225.18, -47.67, 38.0
0.69, 0.11, 145, 0, 140, 224.3, -63.18, 39.33
0.74, 0.1, 145, 0, 140, 231.65, -64.87, 36.49
0.6, 0.12, 145, 0, 140, 209.86, -57.38, 37.64
0.58, 0.24, 145, 0, 140, 206.01, -38.36, 36.34
0.57, 0.35, 145, 0, 140, 206.59, -19.39, 37.06
0.54, 0.48, 145, 0, 140, 204.0, -1.25, 37.41
0.54, 0.66, 145, 0, 140, 202.0, 23.97, 36.58
0.52, 0.82, 145, 0, 140, 199.69, 48.39, 36.51
0.42, 0.89, 145, 0, 140, 185.84, 59.5, 37.31
0.4, 0.81, 145, 0, 140, 184.62, 45.34, 37.5
0.4, 0.68, 145, 0, 140, 182.23, 27.03, 37.25
0.39, 0.54, 145, 0, 140, 181.93, 8.38, 36.83
0.38, 0.39, 145, 0, 140, 178.22, -16.17, 36.62
0.4, 0.28, 145, 0, 140, 181.8, -32.41, 36.81
0.41, 0.17, 145, 0, 140, 181.71, -49.99, 36.63
0.3, 0.1, 145, 0, 140, 164.42, -65.46, 38.13
0.27, 0.18, 145, 0, 140, 159.11, -52.56, 37.73
0.25, 0.26, 145, 0, 140, 158.32, -37.09, 37.65
0.23, 0.38, 145, 0, 140, 156.31, -18.55, 37.59
0.23, 0.52, 145, 0, 140, 154.93, 3.33, 38.48
0.24, 0.65, 145, 0, 140, 155.52, 25.76, 37.31
0.23, 0.78, 145, 0, 140, 150.59, 45.18, 37.06
0.23, 0.89, 145, 0, 140, 152.53, 62.36, 37.3
0.23, 0.89, 145, 0, 140, 154.5, 63.72, 37.93
0.17, 0.89, 145, 0, 140, 142.61, 65.06, 37.76
0.17, 0.79, 145, 0, 140, 142.81, 46.45, 38.53
0.15, 0.68, 145, 0, 140, 142.08, 27.58, 38.27
0.15, 0.57, 145, 0, 140, 141.89, 11.56, 37.92
0.16, 0.46, 145, 0, 140, 143.06, -6.15, 38.42
0.17, 0.33, 145, 0, 140, 142.42, -26.97, 38.28
0.18, 0.23, 145, 0, 140, 141.49, -45.54, 38.63
0.2, 0.14, 145, 0, 140, 141.66, -61.24, 38.24
0.22, 0.08, 145, 0, 140, 143.0, -76.44, 38.11
0.17, 0.08, 145, 0, 140, 131.93, -77.98, 38.0
0.14, 0.15, 145, 0, 140, 127.72, -61.85, 38.11
0.12, 0.25, 145, 0, 140, 126.55, -41.38, 38.36
0.12, 0.39, 145, 0, 140, 132.69, -20.31, 38.41
0.12, 0.48, 145, 0, 140, 133.08, -4.29, 38.36
0.11, 0.58, 145, 0, 140, 134.05, 13.0, 38.27
0.12, 0.7, 145, 0, 140, 133.88, 32.23, 38.73
0.13, 0.86, 145, 0, 140, 135.12, 58.17, 38.59
0.08, 0.9, 145, 0, 140, 120.91, 69.97, 38.39
0.35, 0.32, 145, 0, 140, 170.68, -29.08, 37.77
0.28, 0.7, 145, 0, 140, 161.87, 31.68, 38.44
0.62, 0.7, 145, 0, 140, 215.58, 27.93, 37.27
